[2023-01-04T09:19:06.210970+00:00] name.WARNING: Foo [] []
[2023-01-04T09:19:06.242079+00:00] name.ERROR: Bar [] []
[2023-01-04T09:26:37.910450+00:00] name.ERROR: Nutiko klaida! [] []
[2023-01-04T09:26:46.983435+00:00] name.ERROR: Nutiko klaida! [] []
[2023-01-04T09:39:23.737505+00:00] name.ERROR: Nutiko klaida! [] []
[2023-01-04T09:39:24.420639+00:00] name.ERROR: Nutiko klaida! [] []
[2023-01-04T09:45:25.793083+00:00] name.ERROR: Klaida [] []
[2023-01-04T09:45:43.692675+00:00] name.ERROR: Klaida [] []
[2023-01-04T09:50:25.763558+00:00] name.ERROR: Klaida [] []
[2023-01-06T10:37:41.799021+00:00] Portfolio.WARNING: 404 [] []
[2023-01-06T10:37:57.950445+00:00] Portfolio.WARNING: 404 [] []
[2023-01-06T10:53:11.075309+00:00] Portfolio.WARNING: 404 [] []
[2023-01-06T12:05:12.455681+00:00] Portfolio.WARNING: 404 [] []
[2023-01-06T12:05:32.967481+00:00] Portfolio.WARNING: 404 [] []
[2023-01-06T12:05:52.282553+00:00] Portfolio.WARNING: 404 [] []
[2023-01-06T12:07:31.531592+00:00] Portfolio.WARNING: 404 [] []
[2023-01-06T14:42:55.812213+00:00] Portfolio.WARNING: 404 [] []
[2023-01-06T14:43:10.513405+00:00] Portfolio.WARNING: 404 [] []
[2023-01-06T14:47:37.951992+00:00] Portfolio.WARNING: 404 [] []
[2023-01-06T14:47:42.192912+00:00] Portfolio.WARNING: 404 [] []
[2023-01-06T14:47:44.954332+00:00] Portfolio.WARNING: 404 [] []
[2023-01-06T14:47:45.524289+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T09:15:11.752509+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T09:15:11.824815+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T09:15:11.898470+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T09:15:11.991028+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T09:15:18.383042+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T09:15:18.469436+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T09:15:18.545487+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T09:15:18.811654+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T09:15:22.768466+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T09:15:22.951872+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T09:15:31.090014+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T09:15:48.275365+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T09:15:48.538415+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T09:15:49.326194+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T09:15:49.372755+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T09:15:49.422028+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T09:15:49.636213+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T09:15:51.671363+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T09:15:51.897622+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T09:15:53.329086+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T09:15:53.378857+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T09:15:53.428571+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T09:15:53.635119+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T09:15:54.743379+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T09:15:54.959694+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T09:16:00.755343+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T09:16:03.879790+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:55:39.559529+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:55:40.423966+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:55:40.675884+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:55:41.505875+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:55:41.572948+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:55:41.652157+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:55:41.894321+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:55:43.148764+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:55:43.201485+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:55:43.253448+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:55:43.474488+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:55:44.666871+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:55:44.718735+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:55:44.766401+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:55:44.992776+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:55:53.271466+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:55:53.533129+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:56:06.535661+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:56:09.163109+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:56:09.228797+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:56:09.303775+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:56:09.647728+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:56:14.458321+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:56:14.688347+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:56:19.163665+00:00] Portfolio.WARNING: 404 [] []
[2023-01-09T10:56:19.214327+00:00] Portfolio.WARNING: 404 [] []
